Prop_lost,median1,median2,median3,median4,median5,median6
0.06346,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.06422,0.81775,0.8405,0.778,0.88675,0.8135,0.819
0.06498,0.817,0.8405,0.778,0.88675,0.8135,0.819
0.06575,0.8165,0.8405,0.778,0.88675,0.8135,0.819
0.06651,0.8165,0.8405,0.778,0.88675,0.8135,0.819
0.06728,0.8165,0.8405,0.778,0.88675,0.8135,0.819
0.06843,0.8165,0.8405,0.778,0.88675,0.8135,0.819
0.06919,0.8165,0.8405,0.778,0.88675,0.8135,0.819
0.06995,0.8165,0.8405,0.778,0.88675,0.8135,0.819
0.0711,0.8165,0.8405,0.778,0.88675,0.8135,0.819
0.07187,0.8165,0.8405,0.778,0.88675,0.8135,0.819
0.07301,0.8165,0.8405,0.778,0.88675,0.8135,0.819
0.07378,0.8165,0.8405,0.778,0.88675,0.8135,0.819
0.07492,0.8165,0.8405,0.778,0.88675,0.8135,0.819
0.07569,0.8165,0.8405,0.778,0.88675,0.8135,0.819
0.07683,0.8165,0.8405,0.778,0.88675,0.8135,0.819
0.0776,0.8165,0.8405,0.778,0.88675,0.8135,0.819
0.07875,0.8165,0.8405,0.778,0.88675,0.8135,0.819
0.07951,0.8165,0.8405,0.778,0.88675,0.8135,0.819
0.08028,0.8165,0.8405,0.778,0.88675,0.8135,0.819
0.08104,0.8165,0.8405,0.778,0.88675,0.8135,0.819
0.0818,0.8165,0.8405,0.778,0.88675,0.8135,0.819
0.08295,0.8165,0.8405,0.778,0.88675,0.8135,0.819
0.08372,0.8165,0.8405,0.778,0.88675,0.8135,0.819
0.08448,0.8165,0.8405,0.778,0.88675,0.8135,0.819
0.08524,0.8165,0.8405,0.778,0.88675,0.8135,0.819
0.08601,0.81625,0.8405,0.778,0.88675,0.8135,0.819
0.08677,0.816,0.8405,0.778,0.88675,0.8135,0.819
0.08754,0.816,0.8405,0.778,0.88675,0.8135,0.819
0.0883,0.816,0.8405,0.778,0.88675,0.8135,0.819
0.08907,0.816,0.8405,0.778,0.88675,0.8135,0.819
0.09021,0.816,0.8405,0.778,0.88675,0.8135,0.819
0.09098,0.816,0.8405,0.778,0.88675,0.8135,0.819
0.09174,0.816,0.8405,0.778,0.88675,0.8135,0.819
0.09251,0.816,0.8405,0.778,0.88675,0.8135,0.819
0.09327,0.816,0.8405,0.778,0.88675,0.8135,0.819
0.09404,0.816,0.8405,0.778,0.88675,0.8135,0.819
0.0948,0.816,0.8405,0.778,0.88675,0.8135,0.819
0.09557,0.816,0.8405,0.778,0.88675,0.8135,0.819
0.09633,0.816,0.8405,0.778,0.88675,0.8135,0.819
0.09709,0.816,0.8405,0.778,0.88675,0.8135,0.819
0.09786,0.816,0.8405,0.778,0.88675,0.8135,0.819
