Prop_lost,median1,median2
0.18884,0.81825,0.81875
0.1896,0.8175,0.81875
0.19037,0.817,0.81875
0.19151,0.8165,0.81875
0.19228,0.816,0.81875
0.19343,0.8155,0.81875
0.19419,0.815,0.8185
0.19534,0.8145,0.8185
0.19648,0.814,0.81825
0.19725,0.8135,0.81825
0.19839,0.81275,0.81825
0.19916,0.81225,0.81825
0.20031,0.81175,0.81825
0.20107,0.81125,0.81825
0.20222,0.8105,0.81825
0.20298,0.8105,0.81825
0.20413,0.8105,0.81825
0.20489,0.8105,0.81825
0.20604,0.81025,0.81825
0.2068,0.81025,0.81825
0.20757,0.81025,0.81825
0.20872,0.81025,0.81825
0.20948,0.81025,0.81825
0.21063,0.81025,0.81825
0.21139,0.81025,0.81825
0.21254,0.81025,0.81825
0.2133,0.81025,0.81825
0.21445,0.81025,0.81825
0.21521,0.81025,0.81825
0.21636,0.81025,0.81825
0.21713,0.81025,0.818
0.21789,0.81025,0.8175
0.21904,0.81025,0.8175
0.2198,0.81025,0.8175
0.22057,0.81025,0.8175
0.22133,0.81025,0.8175
0.22248,0.81025,0.8175
0.22324,0.81025,0.8175
0.22401,0.81025,0.81725
0.22477,0.81025,0.81725
0.22554,0.81025,0.817
0.2263,0.81025,0.81675
0.22706,0.81025,0.81675
0.22821,0.81025,0.81675
0.22898,0.81025,0.81675
0.23012,0.81025,0.8165
0.23089,0.81025,0.8165
0.23203,0.81025,0.8165
0.2328,0.81025,0.8165
0.23394,0.81025,0.8165
0.23471,0.81025,0.8165
0.23586,0.81025,0.8165
0.23662,0.81025,0.8165
0.23777,0.81025,0.8165
0.23853,0.81025,0.8165
0.23968,0.81025,0.8165
0.24044,0.81025,0.81625
0.24159,0.81025,0.81625
0.24235,0.81025,0.81625
0.2435,0.81025,0.81575
0.24427,0.81025,0.81525
0.24541,0.81025,0.81525
0.24618,0.81025,0.81525
0.24694,0.81025,0.81525
0.24809,0.81025,0.81525
0.24885,0.81025,0.81525
0.25,0.81,0.81475
0.25076,0.80925,0.81475
0.25191,0.80875,0.81475
0.25268,0.808,0.81475
0.25382,0.80725,0.81475
0.25459,0.8065,0.81475
0.25573,0.80575,0.81425
0.2565,0.80525,0.814
0.25765,0.80475,0.814
0.25841,0.80425,0.814
0.25956,0.8035,0.814
0.26032,0.80275,0.814
0.26147,0.802,0.8135
0.26223,0.8015,0.8135
0.26338,0.80075,0.8135
0.26414,0.80025,0.81325
0.26529,0.79925,0.81325
0.26606,0.79875,0.81325
0.2672,0.7985,0.81325
0.26797,0.79825,0.813
0.26911,0.798,0.813
0.26988,0.79775,0.813
0.27102,0.7975,0.813
0.27179,0.79725,0.813
0.27294,0.797,0.813
0.2737,0.79625,0.813
0.27485,0.7955,0.813
0.27561,0.79475,0.813
0.27676,0.79375,0.813
0.27752,0.79275,0.813
0.27867,0.792,0.813
0.27943,0.79125,0.813
0.28058,0.7905,0.813
0.28135,0.79,0.813
0.28249,0.7895,0.81275
0.28364,0.789,0.81275
0.2844,0.789,0.81275
0.28555,0.789,0.81275
0.28631,0.789,0.81275
0.28746,0.78875,0.81275
0.28823,0.78875,0.81275
0.28937,0.78875,0.81275
0.29052,0.78875,0.81275
0.29128,0.7885,0.8125
0.29243,0.7885,0.8125
0.2932,0.7885,0.8125
0.29434,0.7885,0.8125
0.29549,0.7885,0.8125
0.29625,0.7885,0.81225
0.29702,0.7885,0.81225
0.29817,0.78825,0.81225
0.29893,0.7875,0.81225
0.30008,0.78675,0.81175
0.30084,0.78575,0.81125
0.30161,0.78525,0.81075
0.30275,0.785,0.81025
0.30352,0.7845,0.80975
0.30428,0.78425,0.80975
0.30543,0.784,0.8095
0.30619,0.7835,0.80925
0.30696,0.78325,0.80875
0.3081,0.78275,0.8085
0.30887,0.7825,0.8085
0.31002,0.78225,0.8085
0.31078,0.782,0.8085
0.31193,0.7815,0.8085
0.31269,0.781,0.8085
0.31384,0.78075,0.80775
0.31498,0.78,0.80775
0.31575,0.77975,0.80775
0.3169,0.77975,0.80775
0.31766,0.77975,0.80775
0.31881,0.77975,0.8075
0.31995,0.77975,0.80725
0.32072,0.7795,0.80725
0.32187,0.7795,0.807
0.32263,0.77925,0.807
0.32378,0.779,0.807
0.32454,0.77875,0.807
0.32569,0.7785,0.80675
0.32645,0.77825,0.80675
0.3276,0.778,0.80675
0.32875,0.77775,0.80675
0.32951,0.7775,0.80675
0.33066,0.77725,0.80675
0.33142,0.77725,0.80625
0.33257,0.777,0.806
0.33333,0.777,0.806
0.33448,0.777,0.806
0.33524,0.777,0.806
0.33639,0.777,0.806
0.33716,0.777,0.806
0.3383,0.777,0.806
0.33907,0.777,0.806
0.34021,0.777,0.806
0.34136,0.777,0.80575
0.34213,0.777,0.80575
0.34327,0.777,0.80575
0.34442,0.777,0.80575
0.34518,0.777,0.80575
0.34633,0.777,0.8055
0.34748,0.777,0.8055
0.34824,0.777,0.80525
0.34939,0.77675,0.8045
0.35054,0.77675,0.80425
0.35168,0.77675,0.80425
0.35245,0.77675,0.80375
0.35359,0.7765,0.8035
0.35474,0.77625,0.80325
0.35589,0.77625,0.80325
0.35665,0.77575,0.80325
0.3578,0.7755,0.803
0.35894,0.77525,0.80275
0.35971,0.775,0.80275
0.36086,0.77475,0.80275
0.362,0.7745,0.80275
0.36277,0.7745,0.80275
0.36391,0.7745,0.80275
0.36506,0.77425,0.8025
0.36583,0.77425,0.80225
0.36697,0.774,0.8015
0.36774,0.774,0.80075
0.36888,0.77375,0.8005
0.36965,0.77375,0.80025
0.3708,0.7735,0.80025
0.37194,0.77325,0.8
0.37271,0.773,0.79975
0.37385,0.77275,0.799
0.37462,0.7725,0.798
0.37576,0.77225,0.7965
0.37653,0.772,0.79625
0.37768,0.772,0.79575
0.37882,0.77175,0.79525
0.37959,0.7715,0.795
0.38073,0.7705,0.795
0.3815,0.76975,0.79475
0.38265,0.76925,0.79475
0.38379,0.76825,0.7945
0.38456,0.7675,0.794
0.3857,0.76675,0.79325
0.38647,0.766,0.79325
0.38761,0.76525,0.793
0.38838,0.7645,0.793
0.38953,0.76375,0.793
0.39067,0.763,0.793
0.39144,0.76225,0.793
0.39258,0.76175,0.793
0.39335,0.761,0.793
0.3945,0.76025,0.79275
0.39526,0.7595,0.7925
0.39641,0.75875,0.79175
0.39755,0.75825,0.7915
0.39832,0.7575,0.791
0.39946,0.75675,0.79075
0.40061,0.75625,0.7905
0.40176,0.7555,0.79
0.40252,0.755,0.7895
0.40367,0.7545,0.789
0.40482,0.75375,0.78825
0.40596,0.75325,0.7875
0.40673,0.75275,0.78725
0.40787,0.7525,0.787
0.40902,0.7525,0.78625
0.41017,0.7525,0.7855
0.41131,0.7525,0.78475
0.41246,0.7525,0.784
0.41323,0.7525,0.78325
0.41437,0.7525,0.7825
0.41552,0.7525,0.782
0.41667,0.7525,0.78175
0.41781,0.7525,0.78175
0.41896,0.7525,0.78175
0.42011,0.75225,0.78175
0.42087,0.75225,0.78175
0.42202,0.75225,0.78175
0.42317,0.75225,0.781
0.42431,0.75225,0.78
0.42546,0.75225,0.77925
0.42661,0.75225,0.779
0.42775,0.75225,0.778
0.4289,0.75225,0.7775
0.43005,0.75225,0.7775
0.43119,0.75225,0.77725
0.43234,0.752,0.77675
0.43349,0.752,0.7765
0.43463,0.752,0.7765
0.43578,0.752,0.7765
0.43693,0.752,0.7765
0.43807,0.752,0.77625
0.43922,0.752,0.7755
0.44037,0.752,0.775
0.44113,0.752,0.774
0.44228,0.752,0.77125
0.44343,0.752,0.77025
0.44457,0.752,0.76875
0.44572,0.752,0.7685
0.44687,0.752,0.7685
0.44801,0.752,0.7685
0.44916,0.752,0.7685
0.45031,0.752,0.7685
0.45145,0.75175,0.7685
