"pr_rem" "variant" "value"
100 "global2000" 100
99.962 "global2000" 99.9997249557473
99.927 "global2000" 99.9989685840526
99.894 "global2000" 99.9982023893487
99.861 "global2000" 99.9974656636719
99.827 "global2000" 99.9966945574636
99.799 "global2000" 99.9961051769222
99.796 "global2000" 99.9961002654176
99.79 "global2000" 99.9961002654176
99.782 "global2000" 99.996016769841
99.776 "global2000" 99.996016769841
99.772 "global2000" 99.996016769841
99.767 "global2000" 99.996016769841
99.763 "global2000" 99.996016769841
99.758 "global2000" 99.996016769841
99.753 "global2000" 99.996016769841
99.744 "global2000" 99.9959332742643
99.738 "global2000" 99.9959332742643
99.732 "global2000" 99.9959332742643
99.725 "global2000" 99.9959332742643
99.718 "global2000" 99.9959332742643
99.707 "global2000" 99.9958448671831
99.699 "global2000" 99.9958448671831
99.69 "global2000" 99.9958448671831
99.68 "global2000" 99.9958203096605
99.669 "global2000" 99.9957466370929
99.661 "global2000" 99.9957466370929
99.653 "global2000" 99.9957466370929
99.645 "global2000" 99.9957466370929
99.633 "global2000" 99.9956484070026
99.625 "global2000" 99.9956484070026
99.616 "global2000" 99.9956484070026
99.608 "global2000" 99.9956484070026
99.599 "global2000" 99.9955894689485
99.59 "global2000" 99.9955550884169
99.584 "global2000" 99.9955550884169
99.577 "global2000" 99.9955550884169
99.569 "global2000" 99.9955550884169
99.558 "global2000" 99.9954765043447
99.55 "global2000" 99.9954765043447
99.542 "global2000" 99.9954765043447
99.535 "global2000" 99.9954765043447
99.524 "global2000" 99.995383185759
99.517 "global2000" 99.995383185759
99.509 "global2000" 99.995383185759
99.503 "global2000" 99.995383185759
99.495 "global2000" 99.995383185759
99.484 "global2000" 99.9952947786778
99.477 "global2000" 99.9952947786778
99.469 "global2000" 99.9952947786778
99.463 "global2000" 99.9952947786778
99.452 "global2000" 99.9952211061101
99.443 "global2000" 99.9952211061101
99.434 "global2000" 99.9952211061101
99.424 "global2000" 99.995191637083
99.413 "global2000" 99.9951670795605
99.4 "global2000" 99.9951474335424
99.387 "global2000" 99.9951474335424
99.374 "global2000" 99.9951474335424
99.36 "global2000" 99.9951474335424
99.347 "global2000" 99.9951474335424
99.333 "global2000" 99.995142522038
99.318 "global2000" 99.995142522038
99.304 "global2000" 99.9951376105333
99.291 "global2000" 99.9951376105333
99.277 "global2000" 99.9951376105333
99.26 "global2000" 99.9951376105333
99.246 "global2000" 99.9951376105333
99.229 "global2000" 99.9951376105333
99.215 "global2000" 99.9951376105333
99.198 "global2000" 99.9951376105333
99.177 "global2000" 99.9951376105333
99.16 "global2000" 99.9951376105333
99.145 "global2000" 99.9951376105333
99.128 "global2000" 99.9951376105333
99.112 "global2000" 99.9951376105333
99.095 "global2000" 99.9951228760199
99.082 "global2000" 99.9951228760199
99.067 "global2000" 99.9951228760199
99.052 "global2000" 99.9951228760199
99.037 "global2000" 99.9951228760199
99.022 "global2000" 99.9951228760199
99.009 "global2000" 99.9951228760199
98.994 "global2000" 99.9951228760199
98.983 "global2000" 99.9951228760199
98.968 "global2000" 99.9951228760199
98.954 "global2000" 99.9951081415063
98.94 "global2000" 99.9951081415063
98.925 "global2000" 99.9951032300018
98.907 "global2000" 99.9951032300018
98.893 "global2000" 99.9951032300018
98.877 "global2000" 99.9951032300018
98.863 "global2000" 99.9951032300018
98.847 "global2000" 99.9951032300018
98.831 "global2000" 99.9951032300018
98.816 "global2000" 99.9951032300018
98.803 "global2000" 99.9951032300018
98.787 "global2000" 99.9951032300018
98.772 "global2000" 99.9950934069928
98.757 "global2000" 99.9950934069928
98.741 "global2000" 99.9950934069928
98.721 "global2000" 99.9950884954882
98.698 "global2000" 99.9950835839838
98.672 "global2000" 99.9950688494702
98.646 "global2000" 99.9950688494702
98.622 "global2000" 99.9950688494702
98.597 "global2000" 99.9950688494702
98.573 "global2000" 99.9950688494702
98.548 "global2000" 99.9950688494702
98.522 "global2000" 99.9950688494702
98.502 "global2000" 99.9950590264612
98.476 "global2000" 99.9950590264612
98.449 "global2000" 99.9950590264612
98.419 "global2000" 99.9950541149567
98.39 "global2000" 99.9950541149567
98.361 "global2000" 99.9950541149567
98.334 "global2000" 99.9950541149567
98.304 "global2000" 99.9950541149567
98.276 "global2000" 99.9950541149567
98.247 "global2000" 99.9950442919477
98.217 "global2000" 99.9950442919477
98.188 "global2000" 99.9950442919477
98.159 "global2000" 99.9950442919477
98.129 "global2000" 99.9950344689387
98.101 "global2000" 99.9950246459296
98.072 "global2000" 99.9950246459296
98.043 "global2000" 99.9950148229206
98.018 "global2000" 99.9950148229206
97.996 "global2000" 99.9950148229206
97.976 "global2000" 99.9950148229206
97.954 "global2000" 99.995009911416
97.929 "global2000" 99.995009911416
97.904 "global2000" 99.995009911416
97.881 "global2000" 99.9950049999116
97.858 "global2000" 99.9950049999116
97.835 "global2000" 99.9950049999116
97.812 "global2000" 99.9950049999116
97.788 "global2000" 99.9949902653981
97.764 "global2000" 99.9949853538935
97.738 "global2000" 99.994980442389
97.711 "global2000" 99.9949755308845
97.684 "global2000" 99.9949755308845
97.658 "global2000" 99.9949460618575
97.631 "global2000" 99.9948822122987
97.607 "global2000" 99.9947643361905
97.582 "global2000" 99.9946562830913
97.556 "global2000" 99.9945826105235
97.531 "global2000" 99.9944892919378
97.505 "global2000" 99.9943959733521
97.48 "global2000" 99.9942780972438
97.455 "global2000" 99.9941995131717
97.431 "global2000" 99.9940963715769
97.402 "global2000" 99.9939784954686
97.372 "global2000" 99.9938557078558
97.34 "global2000" 99.9937476547565
97.309 "global2000" 99.9936248671438
97.277 "global2000" 99.9934922565219
97.246 "global2000" 99.9933743804137
97.213 "global2000" 99.9933350883776
97.178 "global2000" 99.9933252653686
97.142 "global2000" 99.9933154423595
97.107 "global2000" 99.9933154423595
97.072 "global2000" 99.9932957963415
97.037 "global2000" 99.993281061828
97 "global2000" 99.993281061828
96.963 "global2000" 99.9932565043054
96.926 "global2000" 99.9932466812964
96.89 "global2000" 99.9932172122694
96.853 "global2000" 99.9932123007648
96.815 "global2000" 99.9930453096115
96.776 "global2000" 99.992888141467
96.738 "global2000" 99.9927948228813
96.7 "global2000" 99.9927604423497
96.661 "global2000" 99.9927604423497
96.624 "global2000" 99.9927407963316
96.585 "global2000" 99.9927211503136
96.547 "global2000" 99.9927162388091
96.508 "global2000" 99.9927015042955
96.47 "global2000" 99.992676946773
96.43 "global2000" 99.9926523892504
96.393 "global2000" 99.9925885396918
96.351 "global2000" 99.9925836281873
96.312 "global2000" 99.9925246901331
96.271 "global2000" 99.9925148671242
96.23 "global2000" 99.9925099556197
96.188 "global2000" 99.9924903096016
96.144 "global2000" 99.992485398097
96.101 "global2000" 99.9923233184482
96.059 "global2000" 99.9920679202136
96.015 "global2000" 99.9918567255196
95.973 "global2000" 99.9916357078166
95.933 "global2000" 99.9913655750684
95.892 "global2000" 99.9910905308157
95.852 "global2000" 99.9908891591308
95.81 "global2000" 99.9906632299232
95.768 "global2000" 99.9904225662022
95.726 "global2000" 99.9902015484992
95.685 "global2000" 99.9898970352194
95.643 "global2000" 99.9896760175164
95.6 "global2000" 99.9894402652998
95.558 "global2000" 99.9892241591013
95.516 "global2000" 99.9889884068848
95.472 "global2000" 99.9887330086501
95.43 "global2000" 99.9885119909472
95.39 "global2000" 99.9882173006764
95.348 "global2000" 99.9879815484599
95.305 "global2000" 99.9877605307568
95.262 "global2000" 99.9875346015493
95.217 "global2000" 99.9872644688011
95.172 "global2000" 99.9870090705665
95.128 "global2000" 99.9867536723319
95.084 "global2000" 99.9864393360432
95.037 "global2000" 99.986198672322
94.992 "global2000" 99.9859481855921
94.946 "global2000" 99.9856878758528
94.899 "global2000" 99.9854472121318
94.853 "global2000" 99.9851918138972
94.806 "global2000" 99.9849757076987
94.759 "global2000" 99.9847841590227
94.708 "global2000" 99.9847694245091
94.657 "global2000" 99.9847301324731
94.607 "global2000" 99.9847104864551
94.556 "global2000" 99.9846761059235
94.503 "global2000" 99.9846515484009
94.447 "global2000" 99.9845827873378
94.393 "global2000" 99.9845729643287
94.337 "global2000" 99.9845238492836
94.284 "global2000" 99.9844992917611
94.23 "global2000" 99.9844550882205
94.175 "global2000" 99.9844010616708
94.12 "global2000" 99.9843519466257
94.065 "global2000" 99.984278274058
94.008 "global2000" 99.9842438935265
93.952 "global2000" 99.9841947784812
93.897 "global2000" 99.9841456634362
93.84 "global2000" 99.9840719908685
93.783 "global2000" 99.9840179643189
93.725 "global2000" 99.9839541147602
93.668 "global2000" 99.9836790705075
93.612 "global2000" 99.9832812386421
