Prop_lost,Felidae,Ursidae,Ailuridae,Canidae,Mustelidae,Viverridae,Otaridaee,Herpestidae,Procyonidae,Mephitidae,Hyaenidae,Eupleridae,Phocidae,Nandiniidae,Obobenidae,Prionodontidae,Dasyuridae,Myrmecobidae
0.02446,0.894,0.902,0.934,0.9015,0.831,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.02485,0.894,0.902,0.934,0.9015,0.831,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.02561,0.894,0.902,0.934,0.9015,0.831,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.02638,0.894,0.902,0.934,0.8995,0.8305,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.02714,0.894,0.902,0.934,0.899,0.83,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.02791,0.894,0.902,0.934,0.899,0.8295,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.02867,0.894,0.902,0.934,0.899,0.8295,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.02943,0.894,0.902,0.934,0.899,0.829,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.0302,0.894,0.902,0.934,0.899,0.829,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.03096,0.894,0.902,0.934,0.899,0.8285,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.03173,0.894,0.902,0.934,0.899,0.8285,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.03211,0.894,0.902,0.934,0.899,0.828,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.03287,0.894,0.902,0.934,0.899,0.828,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.03364,0.894,0.902,0.934,0.899,0.8275,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.03402,0.894,0.902,0.934,0.899,0.8275,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.03479,0.894,0.902,0.934,0.899,0.8275,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.03555,0.894,0.902,0.934,0.899,0.8275,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.03631,0.894,0.902,0.934,0.899,0.8275,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.03708,0.894,0.902,0.934,0.899,0.8275,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.03784,0.894,0.902,0.934,0.899,0.8275,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.03823,0.894,0.9015,0.934,0.899,0.8275,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.03899,0.894,0.9015,0.934,0.899,0.8275,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.03976,0.894,0.9015,0.934,0.899,0.8275,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.04052,0.894,0.9015,0.934,0.899,0.8275,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.04128,0.894,0.9015,0.934,0.899,0.8275,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.04205,0.894,0.9015,0.934,0.899,0.8275,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.04243,0.894,0.9015,0.934,0.899,0.827,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.04358,0.894,0.9015,0.934,0.899,0.827,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.04434,0.894,0.9015,0.934,0.899,0.827,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.04511,0.894,0.9015,0.934,0.899,0.827,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.04549,0.894,0.9015,0.934,0.899,0.827,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.04625,0.894,0.9015,0.934,0.899,0.827,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.04702,0.894,0.9015,0.934,0.899,0.827,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.04778,0.894,0.901,0.934,0.899,0.827,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.04855,0.894,0.901,0.934,0.899,0.827,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.04931,0.894,0.901,0.934,0.899,0.8265,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.05046,0.894,0.901,0.934,0.899,0.8265,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.05122,0.894,0.9005,0.934,0.899,0.8265,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.05199,0.894,0.9005,0.934,0.899,0.8265,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.05275,0.894,0.9,0.934,0.899,0.8265,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.05352,0.894,0.9,0.934,0.899,0.8265,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.05428,0.894,0.9,0.934,0.899,0.8265,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.05505,0.894,0.8995,0.934,0.899,0.8265,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.05581,0.894,0.8995,0.934,0.899,0.826,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.05696,0.894,0.899,0.934,0.899,0.826,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.05772,0.894,0.8985,0.934,0.899,0.826,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.05849,0.894,0.8975,0.934,0.899,0.826,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.05925,0.894,0.897,0.934,0.899,0.8255,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.0604,0.894,0.896,0.934,0.898,0.8255,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.06116,0.894,0.8955,0.934,0.8975,0.8255,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.06193,0.894,0.8945,0.934,0.897,0.825,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.06269,0.894,0.894,0.934,0.897,0.825,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.06346,0.894,0.8935,0.934,0.897,0.825,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.06422,0.894,0.893,0.934,0.897,0.825,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.06498,0.894,0.892,0.934,0.897,0.825,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.06575,0.894,0.892,0.934,0.897,0.825,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.06651,0.894,0.892,0.934,0.897,0.8245,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.06728,0.894,0.892,0.934,0.897,0.8245,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.06804,0.894,0.892,0.934,0.897,0.8245,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.06881,0.894,0.892,0.934,0.897,0.8245,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.06957,0.894,0.892,0.934,0.897,0.8245,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.07034,0.894,0.892,0.934,0.897,0.8245,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.0711,0.894,0.892,0.934,0.897,0.8245,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.07187,0.894,0.892,0.934,0.897,0.8245,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.07263,0.894,0.892,0.934,0.897,0.8245,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.07339,0.894,0.892,0.934,0.897,0.8245,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.07416,0.894,0.892,0.934,0.897,0.8245,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.07492,0.894,0.892,0.934,0.897,0.8245,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.07569,0.894,0.892,0.934,0.897,0.824,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.07645,0.894,0.892,0.934,0.897,0.824,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.07722,0.894,0.892,0.934,0.897,0.824,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.07836,0.894,0.892,0.934,0.897,0.824,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.07913,0.894,0.892,0.934,0.897,0.824,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.07989,0.894,0.892,0.934,0.897,0.824,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.08066,0.894,0.892,0.934,0.897,0.824,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.08142,0.894,0.892,0.934,0.897,0.824,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.08219,0.894,0.892,0.934,0.897,0.824,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.08295,0.894,0.892,0.934,0.897,0.824,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.08372,0.894,0.892,0.934,0.897,0.824,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.08448,0.894,0.892,0.934,0.897,0.824,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.08524,0.894,0.892,0.934,0.897,0.824,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.08601,0.894,0.892,0.934,0.897,0.824,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.08677,0.894,0.892,0.934,0.897,0.824,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.08754,0.894,0.892,0.934,0.897,0.824,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
0.0883,0.894,0.892,0.934,0.897,0.824,0.846,0.967,0.8995,0.9235,0.829,0.9045,0.947,0.989,0.917,0.998,0.808,0.949,0.828
