Prop_lost,median1,median2
0.18846,0.912,0.9175
0.18922,0.912,0.9175
0.18998,0.912,0.9175
0.19075,0.912,0.9175
0.19151,0.912,0.9175
0.19228,0.912,0.9175
0.19304,0.912,0.9175
0.19419,0.912,0.917
0.19495,0.912,0.917
0.1961,0.912,0.917
0.19687,0.912,0.917
0.19801,0.912,0.917
0.19916,0.912,0.917
0.19992,0.912,0.917
0.20107,0.912,0.917
0.20183,0.912,0.917
0.20298,0.912,0.917
0.20375,0.912,0.917
0.20489,0.9115,0.9165
0.20566,0.9115,0.9165
0.20642,0.9115,0.9165
0.20757,0.9115,0.9165
0.20833,0.9115,0.9165
0.20948,0.9115,0.9165
0.21024,0.9115,0.9165
0.21101,0.9115,0.9165
0.21216,0.911,0.9165
0.21292,0.911,0.9165
0.21407,0.911,0.916
0.21483,0.911,0.916
0.21598,0.911,0.916
0.21674,0.911,0.916
0.21751,0.911,0.916
0.21865,0.911,0.916
0.21942,0.911,0.916
0.22057,0.911,0.916
0.22133,0.9105,0.916
0.22248,0.9105,0.916
0.22324,0.9105,0.916
0.22439,0.91,0.916
0.22515,0.91,0.916
0.2263,0.91,0.916
0.22706,0.91,0.916
0.22783,0.91,0.916
0.22898,0.9095,0.916
0.22974,0.9095,0.916
0.23089,0.9095,0.916
0.23165,0.9095,0.916
0.2328,0.9095,0.916
0.23356,0.9095,0.916
0.23471,0.9095,0.916
0.23547,0.9085,0.916
0.23662,0.9075,0.916
0.23739,0.906,0.916
0.23853,0.9045,0.916
0.2393,0.903,0.916
0.24044,0.9015,0.916
0.24121,0.901,0.916
0.24235,0.901,0.916
0.24312,0.901,0.916
0.24427,0.901,0.916
0.24503,0.9005,0.916
0.24618,0.9005,0.9155
0.24732,0.9005,0.9155
0.24809,0.9005,0.9155
0.24924,0.9005,0.9155
0.25,0.9005,0.9155
0.25115,0.9,0.9155
0.25191,0.9,0.915
0.25306,0.9,0.915
0.2542,0.9,0.915
0.25497,0.9,0.9145
0.25612,0.9,0.9145
0.25688,0.8995,0.914
0.25803,0.8995,0.9135
0.25917,0.8995,0.9135
0.25994,0.8995,0.913
0.26109,0.8995,0.913
0.26185,0.899,0.913
0.263,0.899,0.913
0.26376,0.899,0.913
0.26491,0.899,0.913
0.26567,0.899,0.913
0.26644,0.899,0.913
0.26758,0.899,0.913
0.26835,0.899,0.9125
0.2695,0.8985,0.9115
0.27026,0.8985,0.9115
0.27141,0.8985,0.911
0.27217,0.8985,0.911
0.27332,0.898,0.911
0.27408,0.898,0.911
0.27523,0.8975,0.9105
0.27599,0.8975,0.9105
0.27714,0.897,0.91
0.27791,0.897,0.9095
0.27867,0.897,0.9095
0.27982,0.8965,0.909
0.28058,0.8965,0.909
0.28173,0.8965,0.909
0.28249,0.8965,0.909
0.28364,0.8965,0.909
0.2844,0.8965,0.909
0.28555,0.8955,0.909
0.28631,0.8945,0.909
0.28746,0.894,0.909
0.28823,0.8935,0.909
0.28937,0.8935,0.909
0.29014,0.8925,0.9085
0.29128,0.8925,0.9085
0.29205,0.8925,0.9085
0.29281,0.892,0.9085
0.29396,0.892,0.9085
0.29472,0.892,0.908
0.29587,0.892,0.908
0.29664,0.891,0.908
0.29778,0.891,0.908
0.29855,0.891,0.908
0.29969,0.891,0.908
0.30084,0.891,0.908
0.30161,0.891,0.908
0.30275,0.8905,0.908
0.3039,0.8905,0.908
0.30466,0.8905,0.908
0.30581,0.8905,0.908
0.30657,0.89,0.908
0.30772,0.89,0.908
0.30887,0.89,0.9075
0.30963,0.89,0.9075
0.31078,0.89,0.9075
0.31193,0.89,0.906
0.31269,0.8895,0.9055
0.31384,0.8895,0.905
0.31498,0.8895,0.9045
0.31575,0.8895,0.9045
0.3169,0.889,0.9045
0.31804,0.889,0.904
0.31881,0.888,0.9035
0.31995,0.888,0.9035
0.3211,0.888,0.9035
0.32225,0.888,0.903
0.32301,0.887,0.9025
0.32416,0.887,0.902
0.32531,0.887,0.9015
0.32607,0.8865,0.9015
0.32722,0.8865,0.9015
0.32798,0.8865,0.901
0.32913,0.886,0.901
0.33028,0.886,0.901
0.33104,0.886,0.901
0.33219,0.886,0.9005
0.33295,0.8855,0.9005
0.3341,0.8855,0.9
0.33486,0.8855,0.9
0.33601,0.8855,0.9
0.33677,0.885,0.9
0.33792,0.885,0.9
0.33869,0.8845,0.9
0.33983,0.8845,0.9
0.34098,0.884,0.9
0.34174,0.884,0.9
0.34289,0.884,0.9
0.34365,0.884,0.9
0.3448,0.884,0.9
0.34557,0.883,0.9
0.34671,0.8825,0.9
0.34748,0.8815,0.9
0.34862,0.8795,0.9
0.34977,0.878,0.9
0.35054,0.878,0.9
0.35168,0.878,0.9
0.35245,0.8775,0.9
0.35359,0.8775,0.9
0.35436,0.877,0.9
0.3555,0.877,0.9
0.35665,0.8765,0.9
0.35742,0.8765,0.9
0.35856,0.8765,0.9
0.35933,0.876,0.9
0.36047,0.876,0.9
0.36162,0.876,0.9
0.36239,0.8755,0.9
0.36353,0.8755,0.9
0.3643,0.8755,0.9
0.36544,0.8755,0.8995
0.36659,0.8755,0.8985
0.36735,0.8755,0.898
0.3685,0.8755,0.8975
0.36965,0.8755,0.8975
0.37041,0.8755,0.8975
0.37156,0.8755,0.8975
0.37271,0.8755,0.897
0.37347,0.8755,0.897
0.37462,0.8755,0.897
0.37576,0.8755,0.897
0.37653,0.8755,0.897
0.37768,0.8755,0.897
0.37882,0.8755,0.897
0.37997,0.8755,0.897
0.38112,0.8755,0.897
0.38226,0.8755,0.8965
0.38341,0.875,0.896
0.38456,0.8745,0.896
0.38532,0.8735,0.896
0.38647,0.873,0.896
0.38761,0.8725,0.896
0.38876,0.872,0.896
0.38991,0.8715,0.896
0.39106,0.8705,0.896
0.3922,0.87,0.896
0.39335,0.869,0.8955
0.3945,0.868,0.8955
0.39564,0.867,0.8955
0.39679,0.8665,0.895
0.39755,0.8665,0.8945
0.3987,0.866,0.8945
0.39985,0.866,0.8945
0.40099,0.8655,0.8945
0.40214,0.8655,0.8945
0.40329,0.865,0.8935
0.40443,0.865,0.8935
0.40558,0.8645,0.893
0.40673,0.864,0.893
0.40787,0.864,0.893
0.40902,0.8635,0.893
0.40979,0.863,0.893
0.41093,0.8625,0.8925
0.41208,0.8625,0.892
0.41323,0.862,0.892
0.41437,0.8615,0.892
0.41552,0.8615,0.892
0.41667,0.861,0.892
0.41781,0.86,0.892
0.41896,0.8595,0.8915
0.42011,0.859,0.891
0.42125,0.858,0.891
0.4224,0.8575,0.8905
0.42355,0.8565,0.8895
0.42431,0.856,0.8885
0.42546,0.855,0.8885
0.42661,0.854,0.8885
0.42775,0.853,0.8885
0.4289,0.852,0.8885
0.43005,0.8505,0.8885
0.43119,0.849,0.888
0.43234,0.8475,0.888
0.43349,0.8465,0.888
0.43463,0.845,0.888
0.43578,0.8435,0.888
0.43693,0.8435,0.886
0.43807,0.8435,0.886
0.43922,0.8435,0.886
0.44037,0.8435,0.886
0.44151,0.8435,0.886
0.44266,0.8435,0.886
0.44343,0.8435,0.886
0.44457,0.8435,0.8855
0.44572,0.8435,0.885
0.44687,0.8435,0.8845
0.44801,0.8435,0.8845
0.44916,0.8435,0.8845
0.45031,0.8435,0.8845
0.45145,0.8435,0.8845
