"pr_rem";"group";"variant";"value"
96.101;"amphibians";"global2000";100
96.059;"amphibians";"global2000";100
96.015;"amphibians";"global2000";100
95.973;"amphibians";"global2000";100
95.933;"amphibians";"global2000";100
95.892;"amphibians";"global2000";100
95.852;"amphibians";"global2000";100
95.81;"amphibians";"global2000";100
95.768;"amphibians";"global2000";100
95.726;"amphibians";"global2000";100
95.685;"amphibians";"global2000";100
95.643;"amphibians";"global2000";100
95.6;"amphibians";"global2000";100
95.558;"amphibians";"global2000";100
95.516;"amphibians";"global2000";100
95.472;"amphibians";"global2000";100
95.43;"amphibians";"global2000";100
95.39;"amphibians";"global2000";100
95.348;"amphibians";"global2000";100
95.305;"amphibians";"global2000";100
95.262;"amphibians";"global2000";100
95.217;"amphibians";"global2000";100
95.172;"amphibians";"global2000";100
95.128;"amphibians";"global2000";100
95.084;"amphibians";"global2000";100
95.037;"amphibians";"global2000";100
94.992;"amphibians";"global2000";100
94.946;"amphibians";"global2000";100
94.899;"amphibians";"global2000";100
94.853;"amphibians";"global2000";100
94.806;"amphibians";"global2000";100
94.759;"amphibians";"global2000";100
94.708;"amphibians";"global2000";100
94.657;"amphibians";"global2000";100
94.607;"amphibians";"global2000";100
94.556;"amphibians";"global2000";100
94.503;"amphibians";"global2000";100
94.447;"amphibians";"global2000";100
94.393;"amphibians";"global2000";100
94.337;"amphibians";"global2000";100
94.284;"amphibians";"global2000";100
94.23;"amphibians";"global2000";100
94.175;"amphibians";"global2000";100
94.12;"amphibians";"global2000";100
94.065;"amphibians";"global2000";100
94.008;"amphibians";"global2000";100
93.952;"amphibians";"global2000";100
93.897;"amphibians";"global2000";100
93.84;"amphibians";"global2000";100
93.783;"amphibians";"global2000";100
93.725;"amphibians";"global2000";100
93.668;"amphibians";"global2000";100
93.612;"amphibians";"global2000";100
93.558;"amphibians";"global2000";100
93.499;"amphibians";"global2000";100
93.437;"amphibians";"global2000";100
93.376;"amphibians";"global2000";100
93.313;"amphibians";"global2000";100
93.264;"amphibians";"global2000";100
93.223;"amphibians";"global2000";100
93.174;"amphibians";"global2000";100
93.131;"amphibians";"global2000";100
93.085;"amphibians";"global2000";100
93.038;"amphibians";"global2000";100
92.987;"amphibians";"global2000";100
92.936;"amphibians";"global2000";100
92.883;"amphibians";"global2000";100
92.836;"amphibians";"global2000";100
92.787;"amphibians";"global2000";100
92.74;"amphibians";"global2000";100
92.7;"amphibians";"global2000";100
92.653;"amphibians";"global2000";100
92.608;"amphibians";"global2000";100
92.561;"amphibians";"global2000";100
